X.Date.Time,Year,Month,Day,Time,Temp...C.,Temp.Flag,Dew.Point.Temp...C.,Dew.Point.Temp.Flag,Rel.Hum....,Rel.Hum.Flag,Wind.Dir..10s.deg.,Wind.Dir.Flag,Wind.Spd..km.h.,Wind.Spd.Flag,Visibility..km.,Visibility.Flag,Stn.Press..kPa.,Stn.Press.Flag,Hmdx,Hmdx.Flag,Wind.Chill,Wind.Chill.Flag,Weather.,X.U.FEFF..Station.Name.,X.Province.
2017-03-01 00:00,2017,3,1,00:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 01:00,2017,3,1,01:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 02:00,2017,3,1,02:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 03:00,2017,3,1,03:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 04:00,2017,3,1,04:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 05:00,2017,3,1,05:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 06:00,2017,3,1,06:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 07:00,2017,3,1,07:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 08:00,2017,3,1,08:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 09:00,2017,3,1,09:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 10:00,2017,3,1,10:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 11:00,2017,3,1,11:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 12:00,2017,3,1,12:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 13:00,2017,3,1,13:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 14:00,2017,3,1,14:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 15:00,2017,3,1,15:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 16:00,2017,3,1,16:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 17:00,2017,3,1,17:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 18:00,2017,3,1,18:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 19:00,2017,3,1,19:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 20:00,2017,3,1,20:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 21:00,2017,3,1,21:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 22:00,2017,3,1,22:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-01 23:00,2017,3,1,23:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 00:00,2017,3,2,00:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 01:00,2017,3,2,01:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 02:00,2017,3,2,02:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 03:00,2017,3,2,03:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 04:00,2017,3,2,04:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 05:00,2017,3,2,05:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 06:00,2017,3,2,06:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 07:00,2017,3,2,07:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 08:00,2017,3,2,08:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 09:00,2017,3,2,09:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 10:00,2017,3,2,10:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 11:00,2017,3,2,11:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 12:00,2017,3,2,12:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 13:00,2017,3,2,13:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 14:00,2017,3,2,14:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 15:00,2017,3,2,15:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 16:00,2017,3,2,16:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 17:00,2017,3,2,17:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 18:00,2017,3,2,18:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 19:00,2017,3,2,19:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 20:00,2017,3,2,20:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 21:00,2017,3,2,21:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 22:00,2017,3,2,22:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-02 23:00,2017,3,2,23:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 00:00,2017,3,3,00:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 01:00,2017,3,3,01:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 02:00,2017,3,3,02:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 03:00,2017,3,3,03:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 04:00,2017,3,3,04:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 05:00,2017,3,3,05:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 06:00,2017,3,3,06:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 07:00,2017,3,3,07:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 08:00,2017,3,3,08:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 09:00,2017,3,3,09:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 10:00,2017,3,3,10:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 11:00,2017,3,3,11:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 12:00,2017,3,3,12:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 13:00,2017,3,3,13:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 14:00,2017,3,3,14:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 15:00,2017,3,3,15:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 16:00,2017,3,3,16:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 17:00,2017,3,3,17:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 18:00,2017,3,3,18:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 19:00,2017,3,3,19:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 20:00,2017,3,3,20:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 21:00,2017,3,3,21:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 22:00,2017,3,3,22:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-03 23:00,2017,3,3,23:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 00:00,2017,3,4,00:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 01:00,2017,3,4,01:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 02:00,2017,3,4,02:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 03:00,2017,3,4,03:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 04:00,2017,3,4,04:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 05:00,2017,3,4,05:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 06:00,2017,3,4,06:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 07:00,2017,3,4,07:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 08:00,2017,3,4,08:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 09:00,2017,3,4,09:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 10:00,2017,3,4,10:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 11:00,2017,3,4,11:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 12:00,2017,3,4,12:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 13:00,2017,3,4,13:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 14:00,2017,3,4,14:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 15:00,2017,3,4,15:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 16:00,2017,3,4,16:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 17:00,2017,3,4,17:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 18:00,2017,3,4,18:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 19:00,2017,3,4,19:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 20:00,2017,3,4,20:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 21:00,2017,3,4,21:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 22:00,2017,3,4,22:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-04 23:00,2017,3,4,23:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 00:00,2017,3,5,00:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 01:00,2017,3,5,01:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 02:00,2017,3,5,02:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 03:00,2017,3,5,03:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 04:00,2017,3,5,04:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 05:00,2017,3,5,05:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 06:00,2017,3,5,06:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 07:00,2017,3,5,07:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 08:00,2017,3,5,08:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 09:00,2017,3,5,09:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 10:00,2017,3,5,10:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 11:00,2017,3,5,11:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 12:00,2017,3,5,12:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 13:00,2017,3,5,13:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 14:00,2017,3,5,14:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 15:00,2017,3,5,15:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 16:00,2017,3,5,16:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 17:00,2017,3,5,17:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 18:00,2017,3,5,18:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 19:00,2017,3,5,19:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 20:00,2017,3,5,20:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 21:00,2017,3,5,21:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 22:00,2017,3,5,22:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-05 23:00,2017,3,5,23:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 00:00,2017,3,6,00:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 01:00,2017,3,6,01:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 02:00,2017,3,6,02:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 03:00,2017,3,6,03:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 04:00,2017,3,6,04:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 05:00,2017,3,6,05:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 06:00,2017,3,6,06:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 07:00,2017,3,6,07:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 08:00,2017,3,6,08:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 09:00,2017,3,6,09:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 10:00,2017,3,6,10:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 11:00,2017,3,6,11:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 12:00,2017,3,6,12:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 13:00,2017,3,6,13:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 14:00,2017,3,6,14:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 15:00,2017,3,6,15:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 16:00,2017,3,6,16:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 17:00,2017,3,6,17:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 18:00,2017,3,6,18:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 19:00,2017,3,6,19:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 20:00,2017,3,6,20:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 21:00,2017,3,6,21:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 22:00,2017,3,6,22:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
2017-03-06 23:00,2017,3,6,23:00,,,,,,,,,,,,,,,,,,,,TOTTENHAM,ONTARIO
